🕘️更新时间,#genre#
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
天津卫视,http://api.kkitv.itv888.cn:8080/hls/z2lkdkrb4w/index.m3u8
天津卫视,http://iptv.huuc.edu.cn/hls/tjhd.m3u8
西藏卫视,https://iptv.catvod.com/catvod.php?id=xzws
新疆卫视,https://iptv.catvod.com/catvod.php?id=xjws
云南卫视,https://iptv.catvod.com/catvod.php?id=ynws
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub

☘️北京频道,#genre#
BTV新闻,http://114.241.107.197:85/tsfile/live/24/1024_1.m3u8?key=txiptv
BTV文艺,http://114.241.107.197:85/tsfile/live/17/1017_1.m3u8?key=txiptv
BTV科教,http://114.241.107.197:85/tsfile/live/18/1018_1.m3u8?key=txiptv
BTV影视,http://114.241.107.197:85/tsfile/live/19/1019_1.m3u8?key=txiptv
BTV财经,http://114.241.107.197:85/tsfile/live/20/1020_1.m3u8?key=txiptv
BTV生活,http://114.241.107.197:85/tsfile/live/22/1022_1.m3u8?key=txiptv
BTV体育,http://114.241.107.197:85/tsfile/live/25/1025_1.m3u8?key=txiptv

☘️香港频道,#genre#
凤凰资讯,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://api.kkhk.itv888.vip:8080/streams/wzt3qbit80m/index.m3u8
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://api.kkhk.itv888.vip:8080/streams/vny1wblsnch/index.m3u8
凤凰香港,http://rihou.cc:555/tv/[Pd]凤凰香港
凤凰香港,http://api.kkhk.itv888.vip:8080/streams/mty4v56ud39/index.m3u8
TVB明珠,http://rihou.cc:555/tv/[Pd]无线明珠
TVB明珠,https://o11.163189.xyz/stream/tvb/mzt/
TVB PLUS,https://o11.163189.xyz/stream/tvb/tvbp/
TVB翡翠4K,http://rihou.cc:555/tv/[Pd]无线翡4k
TVB翡翠4K,https://o11.163189.xyz/stream/tvb/fct4k/
TVB翡翠,http://rihou.cc:555/tv/[Pd]无线翡翠
TVB翡翠,https://o11.163189.xyz/stream/tvb/fct/
TVB华丽翡翠,https://o11.163189.xyz/stream/live/hlt/
TVB华丽翡翠(新加坡),https://o11.163189.xyz/stream/live/jade/
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
TVB千禧经典,http://php.jdshipin.com/PLTV/iptv.php?id=tvbc
TVB千禧经典,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB千禧经典,https://o11.163189.xyz/stream/live/tvbc/
TVB星河,http://rihou.cc:555/tv/[Pd]无线星河
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/01.m3u8
NOW新闻,http://rihou.cc:555/tv/[Cx]Now新闻
天映经典,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
天映经典,https://cdn9.163189.xyz/smt1.1.php?id=Celestial2
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
天映经典,https://o11.163189.xyz/stream/live/ccm/
天映频道,http://74.91.26.218:82/live/typd.m3u8
天映频道,https://o11.163189.xyz/stream/live/typd/
星空卫视,https://stream1.freetv.fun/xing-kong-wei-shi-12.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
星空卫视,https://stream1.freetv.fun/xing-kong-wei-shi-4.ctv
Astro 爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
